,12,24,36,48
count,86.0,67.0,21.0,12.0
mean,-0.8837209302325582,-1.6417910447761195,-6.904761904761905,-1.25
std,12.503569941657052,18.55352738865946,14.35933411375598,14.000811664783127
min,-60.0,-40.0,-35.0,-30.0
1%,-34.5,-40.0,-34.0,-29.45
2%,-26.5,-38.4,-33.0,-28.9
3%,-25.0,-35.1,-32.0,-28.35
4%,-23.0,-35.0,-31.0,-27.8
5%,-20.0,-33.5,-30.0,-27.25
6%,-20.0,-30.2,-30.0,-26.7
7%,-20.0,-26.9,-30.0,-26.15
8%,-16.8,-25.0,-30.0,-25.6
9%,-15.350000000000001,-25.0,-30.0,-25.05
10%,-15.0,-25.0,-30.0,-23.0
11%,-15.0,-25.0,-28.0,-20.8
12%,-15.0,-25.0,-26.0,-18.6
13%,-14.749999999999996,-25.0,-24.0,-16.4
14%,-10.499999999999998,-23.799999999999997,-21.999999999999996,-14.2
15%,-10.0,-20.5,-20.0,-12.000000000000002
16%,-10.0,-20.0,-19.0,-9.8
17%,-10.0,-20.0,-18.0,-7.599999999999998
18%,-10.0,-20.0,-17.0,-5.4
19%,-10.0,-17.299999999999997,-16.0,-5.0
20%,-10.0,-15.0,-15.0,-5.0
21%,-10.0,-15.0,-15.0,-5.0
22%,-10.0,-15.0,-15.0,-5.0
23%,-7.2499999999999964,-15.0,-15.0,-5.0
24%,-5.0,-15.0,-15.0,-5.0
25%,-5.0,-12.5,-15.0,-5.0
26%,-5.0,-10.0,-15.0,-5.0
27%,-5.0,-10.0,-15.0,-5.0
28%,-5.0,-10.0,-15.0,-4.6
29%,-5.0,-10.0,-15.0,-4.050000000000001
30%,-5.0,-10.0,-15.0,-3.500000000000001
31%,-5.0,-10.0,-14.0,-2.9499999999999993
32%,-5.0,-10.0,-12.999999999999998,-2.4
33%,-5.0,-10.0,-11.999999999999996,-1.8499999999999983
34%,-5.0,-10.0,-10.999999999999996,-1.299999999999999
35%,-5.0,-10.0,-10.0,-0.7500000000000018
36%,-5.0,-10.0,-10.0,-0.20000000000000018
37%,-2.7500000000000036,-10.0,-10.0,0.0
38%,0.0,-9.59999999999999,-10.0,0.0
39%,0.0,-6.29999999999999,-10.0,0.0
40%,0.0,-5.0,-10.0,0.0
41%,0.0,-5.0,-10.0,0.0
42%,0.0,-5.0,-10.0,0.0
43%,0.0,-5.0,-10.0,0.0
44%,0.0,-5.0,-10.0,0.0
45%,0.0,-5.0,-10.0,0.0
46%,0.0,-3.199999999999985,-8.999999999999995,0.0
47%,0.0,0.0,-8.000000000000007,0.0
48%,0.0,0.0,-7.000000000000002,0.0
49%,0.0,0.0,-5.9999999999999964,0.0
50%,0.0,0.0,-5.0,0.0
51%,0.0,0.0,-5.0,0.0
52%,0.0,0.0,-5.0,0.0
53%,0.0,0.0,-5.0,0.0
54%,0.0,0.0,-5.0,0.0
55%,3.7500000000000355,1.5000000000000213,-5.0,0.25000000000000355
56%,5.0,4.800000000000004,-3.9999999999999947,0.8000000000000007
57%,5.0,5.0,-3.000000000000007,1.3499999999999979
58%,5.0,5.0,-2.0000000000000018,1.8999999999999995
59%,5.0,5.0,-1.0000000000000053,2.4499999999999966
60%,5.0,5.0,0.0,2.9999999999999982
61%,5.0,5.0,0.0,3.55
62%,5.0,5.0,0.0,4.100000000000001
63%,5.0,5.0,0.0,4.649999999999999
64%,5.0,5.0,0.0,5.0
65%,5.0,5.0,0.0,5.0
66%,5.0,5.0,0.0,5.0
67%,5.0,5.0,0.0,5.0
68%,5.0,5.0,0.0,5.0
69%,5.0,5.0,0.0,5.0
70%,5.0,5.0,0.0,5.0
71%,5.0,5.0,0.0,5.0
72%,5.0,5.0,0.0,5.0
73%,5.0,5.0,0.0,5.149999999999997
74%,5.0,5.0,0.0,5.700000000000003
75%,5.0,7.5,0.0,6.25
76%,5.0,10.0,0.9999999999999964,6.799999999999997
77%,5.0,10.0,2.0000000000000018,7.350000000000003
78%,5.0,10.0,3.000000000000007,7.9
79%,5.0,10.700000000000003,4.0000000000000036,8.450000000000006
80%,5.0,14.000000000000021,5.0,9.000000000000004
81%,5.0,15.0,6.000000000000014,9.55
82%,8.500000000000014,15.0,6.999999999999993,10.099999999999998
83%,10.0,15.0,7.999999999999989,10.649999999999995
84%,10.0,15.0,9.000000000000004,11.200000000000001
85%,10.0,15.0,10.0,11.749999999999998
86%,10.0,15.0,10.0,12.299999999999995
87%,10.0,17.10000000000001,10.0,12.850000000000001
88%,10.0,20.0,10.0,13.399999999999999
89%,10.0,20.0,10.0,13.950000000000005
90%,12.5,20.0,10.0,14.500000000000002
91%,15.0,20.30000000000001,10.999999999999996,15.0
92%,15.0,23.60000000000003,12.00000000000001,15.0
93%,15.0,25.0,13.000000000000007,15.0
94%,15.0,25.0,13.999999999999986,15.0
95%,15.0,25.0,15.0,15.0
96%,15.0,28.599999999999994,15.0,15.0
97%,15.0,35.19999999999996,15.0,15.0
98%,16.499999999999986,41.799999999999926,15.0,15.0
99%,21.500000000000057,45.0,15.0,15.0
max,30.0,45.0,15.0,15.0
