,0,12,24,36,48,60,72,96,120,144,168
count,9923.0,8940.0,7935.0,7000.0,6155.0,711.0,4792.0,2439.0,1880.0,0.0,0.0
mean,-0.7462460949309685,0.9289709172259508,1.9754253308128544,2.1478571428571427,2.0861088545897646,1.188466947960619,1.3877295492487478,-0.1947519475194752,-1.3484042553191489,,
std,4.040700109414525,7.709195301401384,10.9836382195462,13.524659405635857,15.970980153695066,13.4017418160021,20.70466809293379,21.711835750555903,23.91227976549213,,
min,-35.0,-30.0,-45.0,-50.0,-65.0,-50.0,-90.0,-90.0,-100.0,,
1%,-15.0,-20.0,-25.0,-30.0,-35.0,-35.0,-55.0,-60.0,-75.0,,
2%,-10.0,-15.0,-20.0,-25.0,-30.0,-30.0,-45.0,-50.0,-60.0,,
3%,-10.0,-15.0,-20.0,-25.0,-30.0,-25.0,-40.0,-45.0,-50.0,,
4%,-10.0,-10.0,-15.0,-20.0,-25.0,-25.0,-35.0,-45.0,-45.0,,
5%,-5.0,-10.0,-15.0,-20.0,-25.0,-25.0,-35.0,-40.0,-40.0,,
6%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-30.0,-35.0,-40.0,,
7%,-5.0,-10.0,-15.0,-15.0,-20.0,-20.0,-30.0,-35.0,-35.0,,
8%,-5.0,-10.0,-10.0,-15.0,-20.0,-15.0,-30.0,-30.0,-35.0,,
9%,-5.0,-10.0,-10.0,-15.0,-20.0,-15.0,-25.0,-30.0,-35.0,,
10%,-5.0,-10.0,-10.0,-15.0,-20.0,-15.0,-25.0,-25.0,-30.0,,
11%,-5.0,-10.0,-10.0,-15.0,-15.0,-15.0,-25.0,-25.0,-30.0,,
12%,-5.0,-5.0,-10.0,-15.0,-15.0,-15.0,-20.0,-25.0,-27.60000000000005,,
13%,-5.0,-5.0,-10.0,-10.0,-15.0,-15.0,-20.0,-25.0,-25.0,,
14%,-5.0,-5.0,-10.0,-10.0,-15.0,-12.999999999999972,-20.0,-20.0,-25.0,,
15%,-5.0,-5.0,-10.0,-10.0,-15.0,-10.0,-20.0,-20.0,-25.0,,
16%,-5.0,-5.0,-10.0,-10.0,-15.0,-10.0,-15.0,-20.0,-25.0,,
