,12,24,36,48,60,72
count,113.0,178.0,63.0,49.0,9.0,33.0
mean,-2.47787610619469,-5.758426966292135,-4.365079365079365,-2.7551020408163267,1.6666666666666667,3.3333333333333335
std,13.009678639610659,17.348637153128404,23.97061479778777,20.893111516563,21.21320343559643,21.31118642090737
min,-50.0,-75.0,-85.0,-55.0,-25.0,-40.0
1%,-45.0,-66.15,-57.1,-47.8,-24.6,-36.8
2%,-41.4,-42.3,-40.0,-40.6,-24.2,-33.6
3%,-30.0,-40.0,-40.0,-40.0,-23.8,-30.4
4%,-27.599999999999998,-35.0,-40.0,-40.0,-23.4,-28.6
5%,-25.0,-35.0,-39.5,-36.0,-23.0,-27.0
6%,-25.0,-30.0,-36.4,-31.200000000000003,-22.6,-25.4
7%,-20.799999999999997,-30.0,-35.0,-28.2,-22.2,-23.799999999999997
8%,-20.0,-25.0,-35.0,-25.8,-21.8,-22.2
9%,-20.0,-25.0,-35.0,-25.0,-21.4,-20.6
10%,-18.999999999999993,-25.0,-34.0,-25.0,-21.0,-20.0
11%,-15.0,-25.0,-30.9,-25.0,-20.6,-20.0
12%,-15.0,-25.0,-30.0,-25.0,-20.2,-20.0
13%,-15.0,-25.0,-29.699999999999996,-23.799999999999997,-19.8,-19.2
14%,-15.0,-25.0,-26.599999999999994,-21.4,-19.4,-17.599999999999998
15%,-15.0,-25.0,-25.0,-20.0,-19.0,-16.0
16%,-10.399999999999991,-25.0,-25.0,-20.0,-18.6,-15.0
17%,-10.0,-20.0,-25.0,-20.0,-18.2,-15.0
18%,-10.0,-20.0,-25.0,-20.0,-17.8,-15.0
19%,-10.0,-20.0,-25.0,-20.0,-17.4,-15.0
20%,-10.0,-20.0,-25.0,-20.0,-17.0,-15.0
21%,-10.0,-20.0,-25.0,-19.6,-16.6,-15.0
22%,-10.0,-20.0,-25.0,-17.199999999999996,-16.2,-15.0
23%,-10.0,-20.0,-23.700000000000003,-15.0,-15.799999999999999,-15.0
24%,-5.600000000000005,-15.0,-20.600000000000005,-15.0,-15.4,-15.0
25%,-5.0,-15.0,-20.0,-15.0,-15.0,-15.0
26%,-5.0,-15.0,-20.0,-15.0,-14.2,-13.399999999999999
27%,-5.0,-15.0,-20.0,-15.0,-13.399999999999999,-11.799999999999997
28%,-5.0,-15.0,-18.199999999999985,-15.0,-12.599999999999998,-10.199999999999996
29%,-5.0,-15.0,-15.099999999999998,-15.0,-11.8,-8.600000000000003
30%,-5.0,-15.0,-15.0,-15.0,-11.0,-7.000000000000002
31%,-5.0,-15.0,-15.0,-15.0,-10.2,-5.4
32%,-5.0,-10.0,-15.0,-13.200000000000003,-9.399999999999999,-5.0
33%,-5.0,-10.0,-15.0,-10.8,-8.599999999999998,-5.0
34%,-5.0,-10.0,-15.0,-10.0,-7.799999999999998,-5.0
35%,-5.0,-10.0,-15.0,-10.0,-7.000000000000002,-5.0
36%,-5.0,-10.0,-15.0,-10.0,-6.200000000000001,-5.0
37%,-5.0,-10.0,-15.0,-10.0,-5.4,-5.0
38%,-5.0,-10.0,-12.200000000000006,-10.0,-4.8,-5.0
39%,-5.0,-10.0,-10.0,-10.0,-4.3999999999999995,-5.0
40%,-5.0,-10.0,-10.0,-10.0,-3.999999999999999,-5.0
41%,-5.0,-10.0,-10.0,-10.0,-3.600000000000001,-5.0
42%,-5.0,-8.299999999999983,-10.0,-10.0,-3.2000000000000006,-5.0
43%,-5.0,-5.0,-10.0,-10.0,-2.8000000000000003,-5.0
44%,-3.5999999999999943,-5.0,-8.599999999999994,-9.399999999999995,-2.4,-4.6
45%,0.0,-5.0,-5.499999999999989,-6.999999999999993,-1.9999999999999996,-2.9999999999999982
46%,0.0,-5.0,-5.0,-5.0,-1.5999999999999992,-1.3999999999999968
47%,0.0,-5.0,-5.0,-5.0,-1.200000000000001,0.0
48%,0.0,-5.0,-5.0,-5.0,-0.8000000000000007,0.0
49%,0.0,-5.0,-5.0,-5.0,-0.40000000000000036,0.0
50%,0.0,-5.0,-5.0,-5.0,0.0,0.0
51%,0.0,-5.0,-5.0,-5.0,0.0,1.6000000000000014
52%,0.0,0.0,-5.0,-5.0,0.0,3.200000000000003
53%,0.0,0.0,-5.0,-5.0,0.0,4.800000000000004
54%,0.0,0.0,-5.0,-5.0,0.0,5.0
55%,0.0,0.0,-5.0,-5.0,0.0,5.0
56%,0.0,0.0,-5.0,-5.0,0.0,5.0
57%,0.0,0.0,-3.3000000000000185,-5.0,0.0,5.0
58%,0.0,0.0,-0.19999999999999574,-5.0,0.0,5.0
59%,0.0,0.0,0.0,-3.3999999999999986,0.0,5.0
60%,0.0,0.0,0.0,-1.0000000000000142,0.0,5.0
61%,0.0,0.0,0.0,1.4000000000000057,0.0,5.0
62%,0.0,0.0,0.0,3.79999999999999,0.0,5.0
63%,0.0,0.0,0.30000000000001137,5.0,0.6000000000000005,5.800000000000001
64%,0.0,5.0,3.3999999999999986,5.0,1.8000000000000016,7.400000000000002
65%,0.0,5.0,5.0,5.0,3.0000000000000027,9.000000000000004
66%,4.6000000000000085,5.0,5.0,5.0,4.200000000000004,10.0
67%,5.0,5.0,5.0,5.0,5.400000000000005,10.0
68%,5.0,5.0,5.8000000000000185,5.0,6.600000000000006,10.0
69%,5.0,5.0,8.89999999999997,5.0,7.799999999999994,10.399999999999991
70%,5.0,5.0,10.0,5.0,8.999999999999995,11.999999999999993
71%,5.0,5.0,10.0,5.3999999999999915,10.199999999999996,13.599999999999994
72%,5.0,5.0,10.0,7.800000000000011,11.399999999999997,15.399999999999991
73%,5.0,5.0,10.0,10.199999999999996,12.599999999999998,18.599999999999994
74%,5.0,5.0,10.0,12.59999999999998,13.799999999999999,21.799999999999997
75%,5.0,5.0,12.5,15.0,15.0,25.0
76%,5.0,5.0,15.599999999999987,15.0,16.200000000000003,25.0
77%,5.0,10.0,18.70000000000001,15.0,17.400000000000002,25.0
78%,5.0,10.0,20.0,15.0,18.6,25.0
79%,5.0,10.0,20.0,15.0,19.800000000000004,25.0
80%,5.0,10.0,20.0,17.00000000000003,21.000000000000007,25.0
81%,5.0,10.0,20.0,19.400000000000013,22.200000000000006,25.0
82%,5.0,10.0,20.0,20.0,23.399999999999995,26.199999999999992
83%,5.0,10.0,20.0,20.0,24.599999999999994,27.799999999999994
84%,5.0,10.0,20.39999999999999,20.0,25.799999999999997,29.399999999999995
85%,6.000000000000014,10.0,23.49999999999998,20.0,26.999999999999996,30.0
86%,10.0,10.0,25.0,21.400000000000006,28.2,30.0
87%,10.0,10.0,25.0,23.79999999999999,29.4,30.0
88%,10.0,10.0,25.0,25.0,30.2,30.8
89%,10.0,10.0,25.0,25.0,30.6,32.400000000000006
90%,10.0,10.0,25.0,26.000000000000014,31.0,34.0
91%,14.600000000000009,15.0,27.10000000000001,28.4,31.400000000000002,35.0
92%,15.0,15.0,30.0,30.0,31.8,35.0
93%,15.0,15.0,30.0,30.0,32.2,35.0
94%,15.0,15.0,30.0,30.599999999999987,32.599999999999994,35.39999999999999
95%,15.0,20.0,30.0,32.99999999999997,33.0,36.99999999999999
96%,15.0,20.0,30.0,35.0,33.4,38.599999999999994
97%,18.200000000000003,20.0,31.400000000000006,35.0,33.8,40.0
98%,23.799999999999955,25.0,37.59999999999998,35.0,34.2,40.0
99%,25.0,25.0,41.90000000000001,35.0,34.6,40.0
max,25.0,30.0,45.0,35.0,35.0,40.0
