,12,24,36,48,60,72
90%,-5.0,-10.0,-15.0,-15.0,-5.0,-20.0
91%,-5.0,-10.0,-15.0,-15.0,-3.000000000000007,-15.300000000000011
92%,-5.0,-5.0,-15.0,-15.0,-0.9999999999999787,-15.0
93%,-5.0,-5.0,-15.0,-15.0,0.0,-15.0
94%,-5.0,-5.0,-15.0,-15.0,0.0,-15.0
95%,-5.0,-5.0,-10.0,-10.0,0.0,-13.499999999999943
96%,0.0,-5.0,-10.0,-10.0,1.999999999999993,-10.0
97%,0.0,0.0,-5.0,-10.0,3.999999999999986,-10.0
98%,0.0,0.0,-5.0,-5.0,7.000000000000028,-5.0
99%,2.4500000000000455,0.0,-5.0,-5.0,11.000000000000014,-5.0
max,15.0,10.0,5.0,10.0,15.0,0.0
