,0,12,24,36,48,60,72,96,120,144,168
53%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
54%,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,
55%,0.0,0.0,0.0,0.0,5.0,4.750000000000227,5.0,0.0,0.0,,
56%,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,,
57%,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,,
58%,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,,
59%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
60%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
61%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
62%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
63%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
64%,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
65%,0.0,5.0,5.0,5.0,5.0,5.0,7.7500000000009095,5.0,5.0,,
66%,0.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,,
67%,0.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,,
68%,0.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,,
69%,0.0,5.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,,
70%,0.0,5.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,,
71%,0.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,,
72%,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,,
73%,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,,
74%,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,,
75%,0.0,5.0,5.0,10.0,10.0,10.0,15.0,10.0,11.25,,
76%,0.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,,
77%,0.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,,
78%,0.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,,
79%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
80%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
81%,0.0,5.0,10.0,10.0,15.0,10.0,15.0,15.0,15.0,,
82%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,15.0,15.0,,
83%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,,
84%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,,
85%,0.0,5.0,10.0,15.0,15.0,10.0,20.0,20.0,20.0,,
86%,0.0,10.0,10.0,15.0,20.0,15.0,20.0,20.0,20.0,,
87%,0.0,10.0,15.0,15.0,20.0,15.0,20.0,20.0,25.0,,
88%,0.0,10.0,15.0,15.0,20.0,15.0,25.0,20.0,25.0,,
89%,5.0,10.0,15.0,15.0,20.0,15.0,25.0,25.0,25.0,,
90%,5.0,10.0,15.0,20.0,20.0,15.0,25.0,25.0,25.0,,
91%,5.0,10.0,15.0,20.0,20.0,15.0,25.0,25.0,25.0,,
92%,5.0,10.0,15.0,20.0,25.0,15.0,30.0,25.0,30.0,,
93%,5.0,10.0,15.0,20.0,25.0,20.0,30.0,30.0,30.0,,
94%,5.0,10.0,20.0,22.5,25.0,20.0,30.0,30.0,35.0,,
95%,5.0,15.0,20.0,25.0,30.0,20.0,35.0,30.0,35.0,,
96%,5.0,15.0,20.0,25.0,30.0,25.0,35.0,35.0,40.0,,
97%,5.0,15.0,25.0,30.0,30.0,30.0,40.0,40.0,45.0,,
98%,5.0,20.0,25.0,30.0,35.0,30.0,40.0,45.0,50.0,,
99%,10.0,20.0,30.0,35.0,40.0,35.0,50.0,60.0,60.0,,
max,30.0,50.0,75.0,85.0,95.0,40.0,95.0,90.0,90.0,,
