,0,12,24,36,48,60,72,96,120,144,168
count,10887.0,9804.0,8617.0,7508.0,6477.0,516.0,4756.0,1758.0,1081.0,0.0,0.0
mean,-0.4067236153210251,-0.04130966952264382,0.09492862945340606,-0.10588705380927012,-0.6569399413308631,3.565891472868217,0.3616484440706476,2.0637087599544937,2.0656799259944494,,
std,3.6795064809502147,8.62208394117756,13.961140975328542,17.904363922648947,20.470567161462007,18.24795558118918,23.14598649406929,21.04115360232985,20.647982968598455,,
min,-25.0,-55.0,-75.0,-100.0,-105.0,-60.0,-110.0,-65.0,-60.0,,
1%,-10.0,-25.0,-40.0,-50.0,-55.0,-45.0,-60.0,-50.0,-50.0,,
2%,-10.0,-20.0,-30.0,-40.0,-50.0,-40.0,-55.0,-45.0,-45.0,,
3%,-10.0,-20.0,-30.0,-35.0,-45.0,-35.0,-50.0,-40.0,-40.0,,
4%,-5.0,-15.0,-25.0,-35.0,-40.0,-30.0,-45.0,-35.0,-35.0,,
5%,-5.0,-15.0,-25.0,-30.0,-40.0,-30.0,-40.0,-35.0,-35.0,,
6%,-5.0,-15.0,-20.0,-30.0,-35.0,-30.0,-40.0,-35.0,-35.0,,
7%,-5.0,-10.0,-20.0,-25.0,-30.0,-30.0,-35.0,-30.0,-30.0,,
8%,-5.0,-10.0,-20.0,-25.0,-30.0,-25.0,-35.0,-30.0,-30.0,,
9%,-5.0,-10.0,-20.0,-25.0,-30.0,-25.0,-35.0,-30.0,-25.0,,
10%,-5.0,-10.0,-15.0,-25.0,-25.0,-20.0,-30.0,-25.0,-25.0,,
11%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-30.0,-25.0,-25.0,,
12%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-30.0,-25.0,-25.0,,
13%,-5.0,-10.0,-15.0,-20.0,-25.0,-20.0,-25.0,-25.0,-21.19999999999999,,
14%,-5.0,-10.0,-15.0,-20.0,-20.0,-15.0,-25.0,-20.09999999999991,-20.0,,
15%,-5.0,-10.0,-15.0,-19.750000000000227,-20.0,-15.0,-25.0,-20.0,-20.0,,
16%,-5.0,-5.0,-10.0,-15.0,-20.0,-15.0,-25.0,-20.0,-20.0,,
17%,-5.0,-5.0,-10.0,-15.0,-20.0,-10.0,-20.0,-20.0,-20.0,,
18%,-5.0,-5.0,-10.0,-15.0,-20.0,-10.0,-20.0,-15.0,-20.0,,
19%,-5.0,-5.0,-10.0,-15.0,-15.0,-10.0,-20.0,-15.0,-15.0,,
20%,0.0,-5.0,-10.0,-15.0,-15.0,-10.0,-20.0,-15.0,-15.0,,
21%,0.0,-5.0,-10.0,-12.649999999999864,-15.0,-10.0,-15.0,-15.0,-15.0,,
22%,0.0,-5.0,-10.0,-10.0,-15.0,-5.0,-15.0,-15.0,-15.0,,
